2023-06-28 12:50:29,902 - DisMultGES - INFO -  Epoch: 17 || GPU Occupy: 6704.4040.MiB || Train Loss: 0.4188 ||
2023-06-28 12:51:12,731 - DisMultGES - INFO -  Epoch: 18 || GPU Occupy: 6704.4040.MiB || Train Loss: 1.8370 ||
2023-06-28 12:51:45,472 - DisMultGES - INFO -  Epoch: 19 || GPU Occupy: 6704.4040.MiB || Train Loss: 0.4404 ||
2023-06-28 12:52:17,535 - DisMultGES - INFO -  Epoch: 20 || GPU Occupy: 6704.4040.MiB || Train Loss: 1.5155 ||
2023-06-28 12:52:49,878 - DisMultGES - INFO -  Epoch: 21 || GPU Occupy: 6704.4040.MiB || Train Loss: 0.1650 ||
2023-06-28 12:53:32,779 - DisMultGES - INFO -  Epoch: 22 || GPU Occupy: 6704.4040.MiB || Train Loss: 0.9739 ||
2023-06-28 12:54:05,074 - DisMultGES - INFO -  Epoch: 23 || GPU Occupy: 6704.4040.MiB || Train Loss: 0.2208 ||
2023-06-28 12:54:37,469 - DisMultGES - INFO -  Epoch: 24 || GPU Occupy: 6704.4040.MiB || Train Loss: 0.6234 ||
2023-06-28 12:55:18,782 - DisMultGES - INFO -  Epoch: 25 || GPU Occupy: 6704.4040.MiB || Train Loss: 0.2077 ||
2023-06-28 12:56:00,909 - DisMultGES - INFO -  Epoch: 26 || GPU Occupy: 6704.4040.MiB || Train Loss: 0.0817 ||
2023-06-28 12:56:50,640 - DisMultGES - INFO -  Epoch: 0 || GPU Occupy: 6704.4040.MiB || Train Loss: 129.9790 ||
2023-06-28 12:57:18,720 - DisMultGES - INFO -  Epoch: 1 || GPU Occupy: 6704.4040.MiB || Train Loss: 129.2409 ||
2023-06-28 12:57:50,941 - DisMultGES - INFO -  Epoch: 2 || GPU Occupy: 6704.4040.MiB || Train Loss: 125.2997 ||
2023-06-28 12:58:23,008 - DisMultGES - INFO -  Epoch: 3 || GPU Occupy: 6704.4040.MiB || Train Loss: 99.9853 ||
2023-06-28 12:58:55,207 - DisMultGES - INFO -  Epoch: 4 || GPU Occupy: 6704.4040.MiB || Train Loss: 66.9523 ||
2023-06-28 12:59:27,604 - DisMultGES - INFO -  Epoch: 5 || GPU Occupy: 6704.4040.MiB || Train Loss: 35.4327 ||
2023-06-28 12:59:58,606 - DisMultGES - INFO -  Epoch: 6 || GPU Occupy: 6704.4040.MiB || Train Loss: 18.0686 ||
2023-06-28 13:00:30,931 - DisMultGES - INFO -  Epoch: 7 || GPU Occupy: 6704.4040.MiB || Train Loss: 14.0498 ||
2023-06-28 13:01:02,991 - DisMultGES - INFO -  Epoch: 8 || GPU Occupy: 6704.4040.MiB || Train Loss: 6.1547 ||
2023-06-28 13:01:34,872 - DisMultGES - INFO -  Epoch: 9 || GPU Occupy: 6704.4040.MiB || Train Loss: 2.6627 ||
2023-06-28 13:02:06,743 - DisMultGES - INFO -  Epoch: 10 || GPU Occupy: 6704.4040.MiB || Train Loss: 2.8584 ||
